lineage_id	repo_or_project	evidence_class	match_grade	candidate_app_id	doi	pubmed_id	ukb_publication_id	publication_title	authors	application_title	application_pi	application_institution	evidence_urls	source_relation	notes
lineage_odelaneau_shapeit5	https://github.com/odelaneau/shapeit5	A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN	confirmed	66995	10.1038/s41588-023-01415-w	37386248	7739	Accurate rare variant phasing of whole-genome and whole-exome sequencing data in the UK Biobank	Robin J. Hofmeister; Diogo M. Ribeiro; Simone Rubinacci; Olivier Delaneau	Prediction of haplotypes, genotypes, parental-of-origin and applications in biobanks.		University of Lausanne	https://www.nature.com/articles/s41588-023-01415-w; https://biobank.ndph.ox.ac.uk/ukb/pub.cgi?id=7739; https://www.ukbiobank.ac.uk/projects/prediction-of-haplotypes-genotypes-parental-of-origin-and-applications-in-biobanks/	Nature code availability links the exact GitHub repository; the UKB publication/app pages identify the linked application.	Existing confirmed shapeit5 fork established the same publication/application crosswalk; this seed applies the public exact repo chain to the original odelaneau/shapeit5 lineage.
lineage_gerstung-lab_cancerrisk	https://github.com/gerstung-lab/CancerRisk	A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN	confirmed	45761	10.1016/s2589-7500(24)00062-1	38789140		Multi-cancer risk stratification based on national health data: a retrospective modelling and validation study	Alexander W Jung; Peter C Holm; Kumar Gaurav; Jessica Xin Hjaltelin; Davide Placido; Laust Hvas Mortensen; Ewan Birney; S Ren Brunak; Moritz Gerstung	Genetics of cancer risk and therapy response	Professor Moritz Gerstung	European Bioinformatics Institute (EBI), Great Britain	https://www.medrxiv.org/content/10.1101/2022.10.12.22280908v1; https://www.ukbiobank.ac.uk/publications/multi-cancer-risk-stratification-based-on-national-health-data-a-retrospective-modelling-and-validation-study/; https://www.ukbiobank.ac.uk/projects/genetics-of-cancer-risk-and-therapy-response/	medRxiv data availability links the exact GitHub repository; the UKB publication page links the same title/authors to project 45761.	Final article DOI is used for the UKB publication/application chain; preprint DOI 10.1101/2022.10.12.22280908 provides the exact repository URL.
lineage_song88180_human_sex_ratio	https://github.com/song88180/Human_sex_ratio	A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN	confirmed	177030	10.1098/rspb.2024.1876	39406345		In search of the genetic variants of human sex ratio at birth: was Fisher wrong about sex ratio evolution?	Siliang Song; Jianzhi Zhang	Impacts of rapid environmental/societal changes on the genetic architecture of and selection on human traits	Professor Jianzhi Zhang	University of Michigan, United States of America	https://datadryad.org/dataset/doi:10.5061/dryad.vdncjsz43; https://www.ukbiobank.ac.uk/publications/in-search-of-the-genetic-variants-of-human-sex-ratio-at-birth-was-fisher-wrong-about-sex-ratio-evolution/; https://www.ukbiobank.ac.uk/projects/impacts-of-rapid-environmental-societal-changes-on-the-genetic-architecture-of-and-selection-on-human-traits/	Dryad README metadata links the exact GitHub repository; the UKB publication page links the same title/authors to project 177030.	Dryad dataset DOI 10.5061/dryad.vdncjsz43 records repository metadata; final article DOI is used for the UKB publication/application chain.
lineage_hinna0818_ukbanalytica	https://github.com/Hinna0818/UKBAnalytica	A1_DIRECT_APP_ID	confirmed	822932	10.64898/2026.06.19.26356057			UKBAnalytica: an integrated R package for scalable phenotyping and reproducible epidemiological analysis within the UK Biobank Research Analysis Platform	Nan He; Ke Mo; Guangchuang Yu; Feiying He			Tsinghua University; Southern Medical University; BioInforCloud/YuanDong International Academy of Life Sciences	https://www.medrxiv.org/content/10.64898/2026.06.19.26356057v1; https://cran.r-project.org/package=UKBAnalytica; https://github.com/Hinna0818/UKBAnalytica; https://hinna0818.github.io/UKBAnalytica/	CRAN and medRxiv metadata link the exact GitHub repository; medRxiv declarations and data availability identify unique UKB application 822932.	Public preprint metadata states no participant-level data are distributed with UKBAnalytica.
lineage_yochaiedlitz_t2dm_ukb_predictions	https://github.com/yochaiedlitz/T2DM_UKB_predictions	A1_DIRECT_APP_ID	confirmed	28784	10.7554/elife.71862	35731045		Prediction of type 2 diabetes mellitus onset using logistic regression-based scorecards	Yochai Edlitz; Eran Segal	A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data	Eran Segal	Weizmann Institute of Science, Israel	https://elifesciences.org/articles/71862; https://pmc.ncbi.nlm.nih.gov/articles/PMC9255967/; https://github.com/yochaiedlitz/T2DM_UKB_predictions	eLife/PMC article links the exact GitHub repository and acknowledges UK Biobank Application Number 28784.	Exact public repo-publication-application chain uses public article/code metadata only.
lineage_tenayatherapeutics_genetic-survival-analysis-in-ukb	https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB	A1_DIRECT_APP_ID	confirmed	84103	10.1186/s12872-025-04753-1	40335923		Combining genetic proxies of drug targets and time-to-event analyses from longitudinal observational data to identify target patient populations	Luke Zhang; Prachi Kulkarni; Farshad Farshidfar; Whit Tingley; Tim Hoey; Whedy Wang; James R. Priest; Sylwia M. Figarska			Tenaya Therapeutics, South San Francisco, CA, USA; University of California San Diego; Stanford University	https://link.springer.com/article/10.1186/s12872-025-04753-1; https://pubmed.ncbi.nlm.nih.gov/40335923/; https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB	BMC article code/data availability links the exact GitHub repository and acknowledgements identify unique UKB Application number 84103.	Exact public repo-publication-application chain uses public article/code metadata only.
lineage_biostatshao_omniprs	https://github.com/biostatShao/OmniPRS	A1_DIRECT_APP_ID	confirmed	88159	10.1016/j.xgen.2025.100850	40239655		Incorporating multiple functional annotations to improve polygenic risk prediction accuracy	Zhonghe Shao; Wangxia Tang; Hongji Wu; Yifan Kong; Xingjie Hao			Huazhong University of Science and Technology, China	https://pmc.ncbi.nlm.nih.gov/articles/PMC12230236/; https://www.sciencedirect.com/science/article/pii/S2666979X25001065; https://github.com/biostatShao/OmniPRS	Cell Genomics/PMC article links the exact OmniPRS GitHub repository and reports a unique UKB application number 88159.	Exact target repository was unavailable through GitHub after takedown; seed uses public article/code metadata only.
lineage_sirius-yang_imds_wes	https://github.com/Sirius-Yang/IMDs_WES	A1_DIRECT_APP_ID	confirmed	19542	10.1038/s41467-024-49782-0	39009607		Large-scale whole-exome sequencing analyses identified protein-coding variants associated with immune-mediated diseases in 350,770 adults	Liu Yang; Ya-Nan Ou; Bang-Sheng Wu; Wei-Shi Liu; Yue-Ting Deng; Xiao-Yu He; Yi-Lin Chen; Jujiao Kang; Chen-Jie Fei; Ying Zhu; Lan Tan; Qiang Dong; Jianfeng Feng; Wei Cheng; Jin-Tai Yu			Fudan University; Qingdao University	https://www.nature.com/articles/s41467-024-49782-0; https://pubmed.ncbi.nlm.nih.gov/39009607/; https://zenodo.org/records/11307851; https://github.com/Sirius-Yang/IMDs_WES	Nature Communications code availability and Zenodo software metadata link the exact GitHub repository; article methods/data availability identify unique UKB project/application number 19542.	Zenodo contains public software metadata only.
lineage_hakyimlab_ptrs-ukb	https://github.com/hakyimlab/PTRS-UKB	B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY	probable	19526	10.1186/s13059-021-02591-w			Polygenic transcriptome risk scores (PTRS) can improve portability of polygenic risk scores across ancestries	Yanyu Liang; Milton Pividori; Ani Manichaikul; Abraham A. Palmer; Nancy J. Cox; Heather E. Wheeler; Hae Kyung Im			University of Chicago; Haky Im Lab	https://link.springer.com/article/10.1186/s13059-021-02591-w; https://pmc.ncbi.nlm.nih.gov/articles/PMC8759285/; https://github.com/liangyy/ptrs-ukb	Genome Biology article links source code to liangyy/ptrs-ukb and reports UKB Application Number 19526; DMCA target hakyimlab/PTRS-UKB matches senior-lab identity and project name but lacks GitHub fork/source proof.	Probable only; publication/package metadata is evidence, not fork/source metadata.
lineage_harpak-lab_gxsex	https://github.com/Harpak-Lab/GxSex	B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY	probable	61666	10.1016/j.xgen.2023.100297	37228747		Amplification is the primary mode of gene-by-sex interaction in complex human traits	Carrie Zhu; Matthew J. Ming; Jared M. Cole; Michael D. Edge; Mark Kirkpatrick; Arbel Harpak	Sexually antagonistic selection in humans	Arbel Harpak	University of Texas at Austin	https://www.sciencedirect.com/science/article/pii/S2666979X23000630; https://pubmed.ncbi.nlm.nih.gov/37228747/; https://biobank.ndph.ox.ac.uk/ukb/pub.cgi?id=7877; https://github.com/harpak-lab/amplification_gxsex	Cell Genomics article links code to harpak-lab/amplification_gxsex and UKB publication metadata identifies application 61666; DMCA target Harpak-Lab/GxSex has the same lab and GxSex topic but a different repository name.	Probable only; no GitHub-displayed fork/source proof for the DMCA-targeted repository.
