institution,registered_tier,controlled_tier,individual_agreement_required,contact_present
California Polytechnic State University,True,True,False,True
"360h, Inc",True,True,False,True
"3billion, Inc",True,True,False,True
5 Prime Sciences Inc.,True,True,False,True
"5D Patient Journey, Inc",True,True,False,True
A*STAR Institute for Human Development and Potential,True,True,False,True
A.T. Still University of Health Sciences,True,True,False,True
Aarhus University,True,True,False,True
Abartys Health,True,True,False,True
Abbott Laboratories,True,True,False,True
AbbVie Inc.,True,True,False,True
Above and Beyond Family Recovery Center,True,True,False,True
Academia Sinica,True,True,False,True
Academy of Managed Care Pharmacy,True,True,False,True
Accelerated Cure Project for MS,True,True,False,True
"Accenture, LLP",True,True,False,True
Access Care Anywhere,True,True,False,True
Acclinate,True,True,False,True
"AccuMed Safety Solutions, LLC",True,True,False,True
Actio Biosciences Inc.,True,True,False,True
Acton-Boxborough Regional School District,True,True,False,True
ACUITY.health Inc,True,True,False,True
Adams State University,True,True,False,True
ADLD Center,True,True,False,True
Advanced Research Projects Agency for Health (ARPA-H),True,True,False,True
