record_id,pubmed_id,title,year,month,day,journal,doi_present,pub_subtype_code,program_publication,focus_common,focus_rare,focus_maternal,focus_aging,focus_results,focus_behavioral,focus_environmental,focus_population_health,focus_genetic,institution_count,citation_count_present,citation_count,rcr_present,rab_review_flag
3492,42170804,Development of polyphenotypic scores to prioritize detection of G6PD rs1050828 carriers in African and African American populations,2027,01,22,Genetics in Medicine : Official Journal of the American College of Medical Genetics,False,1,0,1,0,0,0,0,0,0,1,1,5,True,0,False,False
3778,42418390,Heterogeneous associations of socioeconomic status with metabolic disease in racial and ethnic subgroups in the United States: A cross-sectional cohort study in NHANES and All Of Us,2026,07,08,PloS One,True,1,0,1,0,0,0,0,0,0,1,0,3,True,0,False,False
3779,42418093,Comparative analysis of fatigue and mental health in sexual and gender minority cancer survivors,2026,07,08,Supportive Care in Cancer : Official Journal of the Multinational Association of Supportive Care in Cancer,True,1,0,0,0,0,0,0,1,0,1,0,1,True,0,False,False
3628,42411868,Genomic Copy Number Variants Associated With Strabismus and Amblyopia in the All of Us Research Program,2026,07,07,Investigative Ophthalmology & Visual Science,True,1,0,1,0,0,0,0,0,0,0,1,3,True,0,False,False
3613,42400801,Discovery of a Polymorphic Gene Fusion via Bottom-Up Chimeric RNA Prediction: Case Study,2026,07,05,"Methods in Molecular Biology (Clifton, N.J.)",False,2,0,0,0,0,0,0,0,0,0,1,1,True,0,False,False
3614,42401309,Sociodemographic Determinants of Food Insecurity and Its Association with BMI in Individuals with Spinal Cord Injury: A Cross-Sectional Analysis from the All of Us Research Program,2026,07,04,Archives of Physical Medicine and Rehabilitation,False,1,0,0,0,0,0,0,1,0,1,0,1,True,0,False,False
3609,42394043,Estimating Mosaic Loss of the Y Chromosome in Male Bladder Cancer Participants Using 'All of Us' Data,2026,07,03,Studies in Health Technology and Informatics,False,1,0,0,0,0,0,0,1,0,0,1,1,True,0,False,False
3610,42394004,ICD-10 and SNOMED CT Representations of Cognitive Decline in All of Us,2026,07,03,Studies in Health Technology and Informatics,False,1,0,1,0,0,0,0,0,0,0,0,2,True,0,False,False
3611,42392034,A transparent and generalizable deep-learning framework for genomic ancestry prediction,2026,07,03,American Journal of Human Genetics,False,2,0,0,0,0,0,0,0,0,1,1,3,True,0,False,False
3604,42391057,Sociodemographic trends in prostate cancer: Insights from the all of Us research program,2026,07,02,JNCI Cancer Spectrum,False,1,0,0,0,0,0,0,0,0,1,1,1,True,0,False,False
3605,42390441,Cerebrovascular risk with calcitonin gene-related peptide monoclonal antibodies versus onabotulinumtoxinA in patients with migraine: A real-world pharmacoepidemiologic study in the National Institutes of Health All of Us,2026,07,02,Cephalalgia : An International Journal of Headache,False,1,0,1,0,0,0,0,1,0,0,0,2,True,0,False,False
3616,42391344,Misaligned Expectations: Motivations of Medically Underserved People to Enroll in the All of Us Research Program,2026,07,02,,True,1,1,0,0,0,0,1,0,0,1,0,1,True,0,False,False
3621,42391302,The Impact of Patient-Provider Relationships on Prostate Cancer Screening: A Cross-Sectional Analysis of the All of Us Research Program,2026,07,02,Urology Practice,False,1,0,0,0,0,0,0,0,0,0,0,3,True,0,False,False
3624,42381368,Characterizing endometriosis and adenomyosis symptom clusters and their impact on quality of life in the All of Us Research Program,2026,07,01,"Human Reproduction (Oxford, England)",False,1,0,1,0,0,0,0,0,0,0,0,9,True,0,False,False
3625,42383963,Glycated hemoglobin levels in participants with diabetes and oral disease enrolled in the All of Us Research Program,2026,07,01,Journal of the American Dental Association (1939),False,1,0,1,0,0,0,0,0,0,0,0,2,True,0,False,False
3598,42377309,Association Between Demyelinating Disease and Dry Eye Syndrome: A Matched Case-Control Study,2026,06,30,Ophthalmic Epidemiology,False,1,0,0,1,0,0,0,0,0,0,0,1,True,0,False,False
3587,42364979,Development and validation of a multiancestry and multitrait polygenic risk score for lung cancer,2026,06,27,Nature Communications,False,2,0,1,0,0,0,0,0,0,1,1,3,True,0,False,False
3584,42348262,Can the All of Us sample be reweighted to mirror a nationally representative sample? A comparison of mortality predictors,2026,06,25,"Epidemiology (Cambridge, Mass.)",False,1,0,0,0,0,0,0,0,0,1,0,6,True,0,False,False
3581,42334204,A comparison of Fast Healthcare Interoperability Resources and Observational Medical Mutcomes Partnership electronic health record data within the All of Us Research Program,2026,06,23,Journal of the American Medical Informatics Association : JAMIA,False,3,0,0,0,0,0,0,0,0,0,0,2,True,0,False,False
3591,42337515,Associations between discrimination and mental healthcare utilization among racial and ethnic minority cancer survivors in the All of Us Research Program,2026,06,23,BMC Public Health,False,1,0,0,0,0,0,0,1,0,1,0,1,True,0,False,False
3582,42332142,Biological aging and generational shifts in early-onset cancer risk,2026,06,22,Nature Medicine,False,2,0,1,0,0,1,0,0,0,0,0,3,True,0,False,False
3583,42330952,Integrating social determinants of health and genetic risk in disease risk models,2026,06,22,American Journal of Human Genetics,True,1,0,1,0,0,0,0,1,0,0,1,2,True,0,False,False
3579,42308439,Semaglutide and Risk of Adult-Onset Seizure: A Target Trial Emulation,2026,06,17,Neurology,True,1,0,1,0,0,0,0,1,0,0,0,7,True,0,False,False
3568,42302012,Long COVID risk by pre-infection symptoms and functional status: A retrospective cohort study of data from the All of Us Research Program,2026,06,16,PLOS,True,1,0,1,0,0,0,0,0,0,1,0,3,True,0,False,False
3569,42312239,Head and Neck Manifestations in Sarcoidosis: An All of Us Research Program Matched Case‐Control Study,2026,06,16,Wiley,True,1,0,0,1,0,0,0,0,0,0,0,1,True,0,False,False
