request_id,status,organisation,project,started_text,user_field_present
26573,Succeeded,University of Manchester,OpenPREGnosis: Developing an Open Algorithm to Identify Pregnancy Episodes and Outcomes in OpenSAFELY,30 Jul 2026 at 20:46,True
26572,Succeeded,University of Manchester,OpenPREGnosis: Developing an Open Algorithm to Identify Pregnancy Episodes and Outcomes in OpenSAFELY,30 Jul 2026 at 19:27,True
26571,Running,University of Bristol,Investigating events following COVID-19,30 Jul 2026 at 16:43,True
26570,Pending,Bennett Institute,Short data report: Recording of personalised follow-up pathways in OpenSAFELY,-,True
26569,Succeeded,University of Manchester,OpenPREGnosis: Developing an Open Algorithm to Identify Pregnancy Episodes and Outcomes in OpenSAFELY,30 Jul 2026 at 15:10,True
26568,Running,University of Bristol,Investigating events following COVID-19,30 Jul 2026 at 14:01,True
26567,Pending,UKHSA,"Identify risk factors associated with disparities for resistant bloodstream infections, before, during and after the global COVID-19 pandemic; a national case-control and cohort study",-,True
26566,Nothing to do,King's College London,Evaluating the implementation of NICE gout guidance within the NHS,-,True
26565,Succeeded,King's College London,Evaluating the implementation of NICE gout guidance within the NHS,29 Jul 2026 at 21:44,True
26564,Succeeded,King's College London,Evaluating the implementation of NICE gout guidance within the NHS,29 Jul 2026 at 15:30,True
