app_id,application_title,institution,pub_id,publication_title,year_pub,date_pub,cite_total,cite_recent
132,Prevalence of stroke and identification of associated risk factors,Western Infirmary,4542,Cohort profile of the UK Biobank: diagnosis and characteristics of cerebrovascular disease,2016,2016-03-22,55,21
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,4490,"Cigarette Smoking, Passive Smoking, Alcohol Consumption, and Hearing Loss",2014,2014-05-28,130,30
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,4609,Correlates of Hearing Aid Use in UK Adults,2019,2019-01-17,47,17
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,5660,"Relationship Between Diet, Tinnitus, and Hearing Difficulties",2019,2019-07-25,48,18
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,7321,Natural history of tinnitus in adults: a cross-sectional and longitudinal analysis,2020,2020-12-10,31,17
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,7383,"Hearing Loss and Cognition: The Role of Hearing Aids, Social Isolation and Depression",2015,2015-03-11,400,84
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,7384,"Investigating the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a large middle-aged UK population",2015,2015-03-13,56,5
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,7385,"The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood",2015,2015-08-24,17,1
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,7554,Hearing in Middle Age,2014,2014-05-01,153,24
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,8404,Vision impairment and dual sensory problems in middle age,2014,2014-05-29,38,13
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,8406,"Relation between Speech-in-Noise Threshold, Hearing Loss and Cognition from 40-69 Years of Age",2014,2014-09-17,184,35
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Imperial College London,5878,The occupations at increased risk of COPD: analysis of lifetime job-histories in the population-based UK Biobank Cohort,2019,2019-06-27,66,24
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Imperial College London,8423,Occupations associated with COPD risk in the large population-based UK Biobank cohort study,2016,2016-03-21,71,19
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Imperial College London,12584,Lifetime occupational exposures and chronic obstructive pulmonary disease risk in the UK Biobank cohort,2022,2022-01-26,9,5
236,Genome-wide association study of blood pressure.,Imperial College London,585,Genome-wide association analysis identifies novel blood pressure loci and offers biological insights into cardiovascular risk,2017,2017-01-30,498,97
236,Genome-wide association study of blood pressure.,Imperial College London,3391,GWAS for urinary sodium and potassium excretion highlights pathways shared with cardiovascular traits,2019,2019-08-13,31,10
236,Genome-wide association study of blood pressure.,Imperial College London,4885,Genetic analysis in European ancestry individuals identifies 517 loci associated with liver enzymes,2021,2021-05-10,72,49
236,Genome-wide association study of blood pressure.,Imperial College London,5539,"Phospholemman Phosphorylation Regulates Vascular Tone, Blood Pressure, and Hypertension in Mice and Humans",2020,2020-12-18,-1,-1
236,Genome-wide association study of blood pressure.,Imperial College London,7532,The biological impact of blood pressure-associated genetic variants in the natriuretic peptide receptor C gene on human vascular smooth muscle,2017,2017-10-10,24,8
236,Genome-wide association study of blood pressure.,Imperial College London,8480,Genome-Wide Association Study of Blood Pressure Traits by Hispanic/Latino Background: the Hispanic Community Health Study/Study of Latinos,2017,2017-09-04,26,6
236,Genome-wide association study of blood pressure.,Imperial College London,8486,New Blood Pressure-Associated Loci Identified in Meta-Analyses of 475 000 Individuals,2017,2017-10-01,52,7
236,Genome-wide association study of blood pressure.,Imperial College London,8504,Genetic Predisposition to High Blood Pressure and Lifestyle Factors,2017,2017-12-18,183,70
236,Genome-wide association study of blood pressure.,Imperial College London,8544,Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries,2018,2018-06-18,77,20
236,Genome-wide association study of blood pressure.,Imperial College London,8566,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits,2018,2018-09-17,1034,398
236,Genome-wide association study of blood pressure.,Imperial College London,9114,Early exposure to social disadvantages and later life body mass index beyond genetic predisposition in three generations of Finnish birth cohorts,2020,2020-05-18,8,5
