field_id,title,availability,stability,private,value_type,base_type,item_type,main_category,debut,version,num_participants,item_count,cost_do,cost_on,cost_sc
3,Verbal interview duration,0,0,0,11,0,0,152,2012-01-05T00:00:00,2025-08-30T00:00:00,501109,624749,0,1,1
4,Biometrics duration,0,0,0,11,0,0,152,2012-01-05T00:00:00,2025-08-30T00:00:00,497769,637623,0,1,1
5,Sample collection duration,0,0,0,11,0,0,152,2012-01-05T00:00:00,2025-08-30T00:00:00,500788,642745,0,1,1
6,Conclusion duration,0,0,0,11,0,0,152,2012-01-05T00:00:00,2025-08-30T00:00:00,498794,640700,0,1,1
19,Heel ultrasound method,0,0,0,21,11,0,100018,2012-01-05T00:00:00,2012-01-06T00:00:00,324399,324399,0,1,1
21,Weight method,0,0,0,21,11,0,100010,2012-01-05T00:00:00,2025-08-30T00:00:00,500322,641364,0,1,1
23,Spirometry method,0,0,0,21,11,0,100020,2012-01-05T00:00:00,2025-08-30T00:00:00,459857,523541,0,1,1
31,Sex,0,0,0,21,11,0,100094,2012-01-05T00:00:00,2025-08-12T00:00:00,501938,501938,0,1,1
33,Date of birth,0,0,1,51,0,0,100094,2012-01-05T00:00:00,2025-08-12T00:00:00,501938,501938,0,0,1
34,Year of birth,0,0,0,11,0,0,100094,2012-01-05T00:00:00,2025-08-12T00:00:00,501938,501938,0,1,1
35,Was blood sampling attempted,0,0,0,21,11,0,100002,2012-01-05T00:00:00,2025-08-30T00:00:00,500788,642745,0,1,1
36,Blood pressure device ID,0,0,0,41,0,0,100011,2012-01-05T00:00:00,2025-08-30T00:00:00,498500,620984,0,1,1
37,Blood pressure manual sphygmomanometer device ID,0,0,0,41,0,0,100011,2012-01-05T00:00:00,2025-08-30T00:00:00,498500,620984,0,1,1
38,Hand grip dynamometer device ID,0,0,0,41,0,0,100019,2012-01-05T00:00:00,2025-08-30T00:00:00,497770,637624,0,1,1
39,Height measure device ID,0,0,0,41,0,0,100010,2012-01-05T00:00:00,2025-08-30T00:00:00,497770,637624,0,1,1
40,Manual scales device ID,0,0,0,41,0,0,100010,2012-01-05T00:00:00,2025-08-30T00:00:00,497770,637624,0,1,1
41,Seating box device ID,0,0,0,41,0,0,100010,2012-01-05T00:00:00,2025-08-30T00:00:00,497770,637624,0,1,1
42,Spirometer device ID,0,0,0,41,0,0,100020,2012-01-05T00:00:00,2025-08-30T00:00:00,497770,637624,0,1,1
43,Impedance device ID,0,0,0,41,0,0,100009,2012-01-05T00:00:00,2025-08-30T00:00:00,497770,637624,0,1,1
44,Tape measure device ID,0,0,0,41,0,0,100010,2012-01-05T00:00:00,2025-08-30T00:00:00,497770,637624,0,1,1
45,Heel ultrasound device id,0,0,0,41,0,0,100018,2012-01-05T00:00:00,2025-08-12T00:00:00,497533,579041,0,1,1
46,Hand grip strength (left),0,2,0,11,0,0,100019,2012-01-05T00:00:00,2025-08-30T00:00:00,498869,638021,0,1,1
47,Hand grip strength (right),0,2,0,11,0,0,100019,2012-01-05T00:00:00,2025-08-30T00:00:00,498931,638106,0,1,1
48,Waist circumference,0,0,0,31,0,0,100010,2012-01-05T00:00:00,2025-08-30T00:00:00,499899,640889,0,1,1
49,Hip circumference,0,0,0,31,0,0,100010,2012-01-05T00:00:00,2025-08-30T00:00:00,499832,640828,0,1,1
