archive_id,application_id,title,availability,personal,notes_chars,mentions_publication
124,735,Derived variables from application 735/ 15716 - myopia variables,0,1,529,True
146,6763,5 year mortality predictors in 498 103 UK Biobank participants: a prospective population-based study,0,0,2936,False
147,38006,Built Environment Data for Bristol,0,1,100,False
164,338,Suitability of UK BIOBANK Retinal Images for Automatic Analysis of morphometric properties of the vasculature,0,0,927,True
210,38006,Built Environment Data - Newcastle and Middlesbrough,0,1,52,False
263,8304,Variants near CHRNA3/5 and APOE have age- and sex-related effects on human lifespan.,0,0,1049,False
265,3572,The effect of functional hearing and hearing aid usage on verbal reasoning in a large community-dwelling population,0,0,400,False
362,38006,Built Environment Data for Birmingham and Nottingham,0,1,52,False
363,38006,Built Environment Data for Oxford,0,1,33,False
403,270,New reference values for body composition by bioelectrical impedance analysis in the general population: results from the UK Biobank,0,0,2220,True
408,761,Parental diabetes and birthweight in 236 030 individuals in the UK Biobank Study,0,0,2532,True
421,1144,Chronic widespread bodily pain is increased among individuals with history of fracture: findings from UK Biobank,0,0,2139,True
423,2482,Do smoking habits differ between women and men in contemporary Western populations? Evidence from half a million people in the UK Biobank study.,0,0,2127,True
424,3966,Characteristics of rheumatoid arthritis and its association with major comorbid conditions: cross-sectional study of 502 649 UK Biobank participants.,0,0,552,True
463,774,"Heaviness, health and happiness: a cross-sectional study of 163066 UK Biobank participants",0,0,1420,True
464,774,"Psychiatry Gender differences in the association between adiposity and probable major depression: a cross-sectional study of 140,564 UK Biobank participants",0,0,1284,False
473,3572,The effect of functional hearing loss and age on long- and short-term visuospatial memory: evidence from the UK Biobank resource,0,0,1484,True
474,3572,Better visuospatial working memoery in adults who report profound deafness comapred to those with normal or poor hearing: Data from the UK Biobank resource,0,0,821,True
501,774,"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",0,0,2235,True
504,774,Low birth weight and features of neuroticism and mood disorder in 83545 participants of the UK Biobank cohort,0,0,1389,True
508,774,"Prevalence and Characteristics of Probable Major Depression and Bipolar Disorder within UK Biobank: Cross-Sectional Study of 172,751 Participants.",0,0,2248,True
509,774,Associations between single and multiple cardiometabolic diseases and cognitive abilities in 474 129 UK Biobank participants.,0,0,1773,True
511,774,"Adiposity among 132,479 UK Biobank participants; contribution of sugar intake vs other macronutrients",0,0,1610,True
513,774,"Cognitive Test Scores in UK Biobank: Data Reduction in 480,416 Participants and Longitudinal Stability in 20,346 Participants.",0,0,1761,True
526,5935,Change in commute mode and body mass index: prospective longitudinal evidence from UK Biobank,0,0,2504,False
