project_number,project_name,researcher_count_or_present,legal_gateway,protected_data_accessed,processing_environment,accreditation_date
2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,1,Digital Economy Act (2017) ,Office for National Statistics: Annual Respondents Database ,Office for National Statistics Secure Research Service,2019-10-25
2019/004,The changing nature of the HR and training practitioner profession,1,Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-25
2019/005,Measuring the impact of hearing loss on well-being,4,Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-12
2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,1,Digital Economy Act (2017) ,Office for National Statistics: Crime Survey for England and Wales ,Office for National Statistics Secure Research Service,2019-10-14
2019/007,Thriving Places index indicators of wellbeing at local authority level,2,Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey  & Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-14
2019/008,Class in UK creative industries: Beyond participation,1,Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society ",Office for National Statistics Secure Research Service,2019-11-19
2019/009,Functional specialisation and their linkages between London & UK cities,2,Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database ,Office for National Statistics Secure Research Service,2019-10-14
2019/010,Diversity in the Creative Industries,1,Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey  & Annual Population Survey
Institute for Social and Economic Research: Understanding Society  ",Office for National Statistics Secure Research Service,2019-10-31
2019/011,Modelling Return on Investment at the firm level,1,Digital Economy Act (2017) ,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",Office for National Statistics Secure Research Service,2019-10-14
2019/012,The impact of the immigration white paper on the Northern Ireland economy,1,Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey  & Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-14
2019/013,TechNation programme evaluation,3,Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database ,Office for National Statistics Secure Research Service,2019-10-14
2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account",1,Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services ",Office for National Statistics Secure Research Service,2019-11-19
2019/015,Understanding saving behaviour in the UK,7,Digital Economy Act (2017) ,Office for National Statistics: Wealth and Assets Survey  & Annual Survey of Hours and Earnings ,Office for National Statistics Secure Research Service,2019-11-19
2019/016,Homeownership of the young,3,Digital Economy Act (2017) ,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index ",Office for National Statistics Secure Research Service,2019-12-12
2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy",11,Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-19
2019/018,Foreign Direct Disinvestment: causes and effects,11,Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-22
2019/019,Improving Regional Economic Indicators Regional Consumer Prices,4,Digital Economy Act (2017) ,Office for National Statistics: Living Cost and Food Survey ,Office for National Statistics Secure Research Service,2019-11-19
2019/020,"Housing, family and environmental risk factors for hospital admissions in children",6,Digital Economy Act (2017) ,Office for National Statistics: Death Registrations  & Census 2011: Household Sample,Office for National Statistics Secure Research Service,2019-11-27
2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK",3,Digital Economy Act (2017) ,Office for National Statistics: Census 2011 & Death Registrations ,Office for National Statistics Secure Research Service,2019-03-12
2019/022,Research on homeless mortality among St Mungo's clients,1,Digital Economy Act (2017) ,Office for National Statistics: Death Registrations ,Office for National Statistics Secure Research Service,2019-12-12
