lineage_id,candidate_rank,candidate_app_id,application_title,application_pi,application_institution,match_grade,match_score,evidence_level,evidence_components,score_details,match_reason,evidence_urls,manual_review_needed
lineage_047pegasus_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/047pegasus/GoLangBooks,true
lineage_0mithun_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/0mithun/GoLangBooks,true
lineage_0x0bject_jetbrains-intellij-idea-key-generator,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/0x0bject/Jetbrains-IntelliJ-IDEA-Key-Generator,true
lineage_0x6773_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/0x6773/GoLangBooks,true
lineage_12sbxu_ukb-tools,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv; https://github.com/12sbxu/ukb-tools,true
lineage_12sbxu_ukbb_data_r,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/11/2025-11-18-uk-biobank-2.md; https://github.com/12sbxu/ukbb_data_r/blob/28fd3edaad9e0cb28cbf67a2cff59336e51b0c72/examples.R; https://github.com/12sbxu/ukbb_data_r,true
lineage_1enlem_php_storm,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/1enLEM/Php_Storm/blob/master/Php%20Storm%208; https://github.com/1enLEM/Php_Storm,true
lineage_23andme-jaredo_shapeit5,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/11/2025-11-13-uk-biobank.md; https://github.com/23andme-jaredo/shapeit5/blob/0b40edb8ef2678fd4ef0f0286dffe9ef0ba9b254/tasks/phasingUKB/step2_wgs/step9_imputation_rerun_new_chunks/data/1k_samples_wbi.txt#L1-L5; https://github.com/23andme-jaredo/shapeit5,true
lineage_2bstar_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/2bstar/JetbrainsPatchKeygen,true
lineage_303732235_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/303732235/JetbrainsPatchKeygen,true
