lineage_id,source_repo,repo_urls,repo_count,notice_ids,notice_count,repo_roles,parent_or_source_repos,first_observed_repo_date,first_observed_offending_commit_date,removal_or_disable_date,alleged_data_types,paper_title,doi,pubmed_id,paper_authors,evidence_urls,manual_review_needed,evidence_file
lineage_12sbxu_ukb-tools,12sbxu/ukb-tools,https://github.com/12sbxu/ukb-tools,1,2025-08-25-ukbiobank-2,1,unknown,,,,2025-08-25,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://github.com/12sbxu/ukb-tools; https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv; https://github.com/12sbxu/ukb-tools,true,evidence/lineages/lineage_12sbxu_ukb-tools.md
lineage_12sbxu_ukbb_data_r,12sbxu/ukbb_data_r,https://github.com/12sbxu/ukbb_data_r,1,2025-11-18-uk-biobank-2,1,unknown,,,,2025-11-18,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/11/2025-11-18-uk-biobank-2.md; https://github.com/12sbxu/ukbb_data_r/blob/28fd3edaad9e0cb28cbf67a2cff59336e51b0c72/examples.R; https://github.com/12sbxu/ukbb_data_r,true,evidence/lineages/lineage_12sbxu_ukbb_data_r.md
lineage_23andme-jaredo_shapeit5,23andme-jaredo/shapeit5,https://github.com/23andme-jaredo/shapeit5,1,2025-11-13-uk-biobank,1,unknown,,,,2025-11-13,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/11/2025-11-13-uk-biobank.md; https://github.com/23andme-jaredo/shapeit5/blob/0b40edb8ef2678fd4ef0f0286dffe9ef0ba9b254/tasks/phasingUKB/step2_wgs/step9_imputation_rerun_new_chunks/data/1k_samples_wbi.txt#L1-L5; https://github.com/23andme-jaredo/shapeit5,true,evidence/lineages/lineage_23andme-jaredo_shapeit5.md
lineage_adamelkholyy_ukbython,adamelkholyy/ukbython,https://github.com/adamelkholyy/ukbython,1,2025-10-15-uk-biobank-5,1,unknown,,2025-10-16T08:08:28Z,,,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-5.md; https://github.com/adamelkholyy/ukbython/blob/2ab4599d02e4ce39e730f9da8a64646657a80412/main.ipynb; https://github.com/adamelkholyy/ukbython,true,evidence/lineages/lineage_adamelkholyy_ukbython.md
lineage_adrianharris96_divergence_pipeline,AdrianHarris96/Divergence_Pipeline,https://github.com/AdrianHarris96/Divergence_Pipeline,1,2026-03-31-uk-biobank-2,1,unknown,,,,2026-03-31,genotype; phenotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2026/03/2026-03-31-uk-biobank-2.md; https://github.com/AdrianHarris96/Divergence_Pipeline/blob/758d336da1634ec64f7ab6f6edea292ec9cdc7c1/randomized_pop_iids.csv; https://github.com/AdrianHarris96/Divergence_Pipeline,true,evidence/lineages/lineage_adrianharris96_divergence_pipeline.md
lineage_aishaalsuwaidi_genetic-annotation-aware-dimensionality-reduction-in-uk-biobank,AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank,https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank,1,2025-10-17-uk-biobank-3,1,unknown,,,,2025-10-17,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/10/2025-10-17-uk-biobank-3.md; https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank/blob/main/Paper%20Results.ipynb; https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank,true,evidence/lineages/lineage_aishaalsuwaidi_genetic-annotation-aware-dimensionality-reduction-in-uk-biobank.md
lineage_ajpag_ukb-brain-symptoms-clustering,ajpag/ukb-brain-symptoms-clustering,https://github.com/ajpag/ukb-brain-symptoms-clustering,1,2025-10-07-uk-biobank,1,unknown,,,,2025-10-07,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/3.3_binary_model.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_brain/1.20_data_col_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/9a7cc1a7ea7df77a210ccc6167a01cf47bd3de4f/ml_kwanbocols/Biobank_data_analysis_predict.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/3.2_multi_model.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.20_data_col_filter_whole-Copy1.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.21_data_correlation_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.2_data_col_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.1_data_col_filter_patch_test.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.1_data_col_filter_patch_test.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.40_data_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.41_data_correlation_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/a093666c6b07a4da5b2249bfac508d6dc43b3fbb/5_data_cleaning_comp/1.2_data_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/3.1_clus_model_grid.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/2.4_EDA_correlation_1yr.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/9a7cc1a7ea7df77a210ccc6167a01cf47bd3de4f/ml_kwanbocols/Biobank_data_analysis_clustering.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.3_data_6mo_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.3_data_6mo_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.4_data_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_brain/1.1_data_col_filter_patch_test.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/2.3_EDA_and_clean_1yr.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/2.2_EDA_6mo.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_andcols/2.2_EDA_6mo.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/a093666c6b07a4da5b2249bfac508d6dc43b3fbb/5_data_cleaning_comp/1.1_data_col_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_andcols/3.1_baseline_model.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_andcols/2.3_EDA_1yr.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering,true,evidence/lineages/lineage_ajpag_ukb-brain-symptoms-clustering.md
lineage_alatteaday_data2vec_bert_ukb,alatteaday/data2vec_bert_ukb,https://github.com/alatteaday/data2vec_bert_ukb,1,2025-10-15-uk-biobank-7,1,unknown,,,,2025-10-15,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-7.md; https://github.com/alatteaday/data2vec_bert_ukb/blob/main/data/pre_train.csv; https://github.com/alatteaday/data2vec_bert_ukb; https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-7.md; https://github.com/alatteaday/data2vec_bert_ukb/blob/main/data/pre_val.csv; https://github.com/alatteaday/data2vec_bert_ukb,true,evidence/lineages/lineage_alatteaday_data2vec_bert_ukb.md
lineage_albbaous_gwas_phenotype,albbaous/GWAS_phenotype,https://github.com/albbaous/GWAS_phenotype,1,2026-03-25-uk-biobank-2,1,unknown,,,,2026-03-25,genotype; phenotype; hospital_episode_statistics; gwas,,,,,https://github.com/github/dmca/blob/master/2026/03/2026-03-25-uk-biobank-2.md; https://github.com/albbaous/GWAS_phenotype/blob/dfb5b2cf0b26a985ad6a003c861d05477502203a/ukb_phenotype_data.pheno; https://github.com/albbaous/GWAS_phenotype; https://github.com/github/dmca/blob/master/2026/03/2026-03-25-uk-biobank-2.md; https://github.com/albbaous/GWAS_phenotype/blob/d394d993c988333ead2d206e32744866a5bf547f/README.md; https://github.com/albbaous/GWAS_phenotype,true,evidence/lineages/lineage_albbaous_gwas_phenotype.md
lineage_alexwjung_cancerrisk,alexwjung/CancerRisk,https://github.com/alexwjung/CancerRisk,1,2025-11-25-uk-biobank-6,1,unknown,,,,2025-11-25,genotype; hospital_episode_statistics,,,,,https://github.com/github/dmca/blob/master/2025/11/2025-11-25-uk-biobank-6.md; https://github.com/alexwjung/CancerRisk/blob/0f496ae2aaf37d17ee81fb60746cc354ee2e4567/main/UKB/scripts/00_dcode_frequency.py; https://github.com/alexwjung/CancerRisk; https://github.com/github/dmca/blob/master/2025/11/2025-11-25-uk-biobank-6.md; https://github.com/alexwjung/CancerRisk/blob/0f496ae2aaf37d17ee81fb60746cc354ee2e4567/main/UKB/scripts/00_ukb_pred.py; https://github.com/alexwjung/CancerRisk; https://github.com/github/dmca/blob/master/2025/11/2025-11-25-uk-biobank-6.md; https://github.com/alexwjung/CancerRisk/blob/d89f782a20acc8a80b60ba5b85f37269bf2b0228/main/UKB/scripts/00_qrisk_pred.py; https://github.com/alexwjung/CancerRisk,true,evidence/lineages/lineage_alexwjung_cancerrisk.md
