notice_id,notice_date,notice_path,repo_url,repo_owner,repo_name,repo_status,lineage_id,repo_role,parent_or_source_repo,offending_file_path,offending_file_name,target_scope,alleged_data_type,first_observed_repo_date,first_observed_offending_commit_date,removal_or_disable_date,github_repo_id,github_created_at,github_pushed_at,github_fork,github_parent,github_source,wayback_first_capture,wayback_capture_count,paper_title,doi,pubmed_id,paper_authors,evidence_urls,uploader_attribution,manual_review_needed,evidence_file
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/rover12421/JetbrainsPatchKeygen,rover12421,JetbrainsPatchKeygen,http_451,lineage_rover12421_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/rover12421/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_rover12421_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/nining/JetbrainsPatchKeygen,nining,JetbrainsPatchKeygen,http_451,lineage_nining_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/nining/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_nining_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/syslight/JetbrainsPatchKeygen,syslight,JetbrainsPatchKeygen,http_451,lineage_syslight_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/syslight/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_syslight_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/HuangWenhuan0/JetbrainsPatchKeygen,HuangWenhuan0,JetbrainsPatchKeygen,http_451,lineage_huangwenhuan0_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/HuangWenhuan0/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_huangwenhuan0_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/melody-rain/JetbrainsPatchKeygen,melody-rain,JetbrainsPatchKeygen,http_451,lineage_melody-rain_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/melody-rain/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_melody-rain_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/hackerwin7/JetbrainsPatchKeygen,hackerwin7,JetbrainsPatchKeygen,not_found_or_removed,lineage_hackerwin7_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/hackerwin7/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_hackerwin7_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/languid/JetbrainsPatchKeygen,languid,JetbrainsPatchKeygen,http_451,lineage_languid_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/languid/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_languid_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/keyeMyria/JetbrainsPatchKeygen,keyeMyria,JetbrainsPatchKeygen,http_451,lineage_keyemyria_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/keyeMyria/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_keyemyria_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/coogleyou/JetbrainsPatchKeygen,coogleyou,JetbrainsPatchKeygen,http_451,lineage_coogleyou_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/coogleyou/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_coogleyou_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/blixxx/JetbrainsPatchKeygen,blixxx,JetbrainsPatchKeygen,http_451,lineage_blixxx_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/blixxx/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_blixxx_jetbrainspatchkeygen.md
2015-07-06-jetbrains,2015-07-06,2015/2015-07-06-jetbrains.md,https://github.com/mba811/JetbrainsPatchKeygen,mba811,JetbrainsPatchKeygen,http_451,lineage_mba811_jetbrainspatchkeygen,unknown,,,,repository,genotype; hospital_episode_statistics,,,2015-07-06,,,,,,,,0,,,,,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/mba811/JetbrainsPatchKeygen,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,true,evidence/lineages/lineage_mba811_jetbrainspatchkeygen.md
